class_name,feature,n_samples,spearman_conflict_vs_shap_range,spearman_conflict_vs_shap_variance,spearman_conflict_vs_sign_instability,mean_shap_range,mean_shap_variance,mean_sign_instability
normal,cat__service_netbios_dgm,256,-0.044605217501579496,-0.1045378247206381,-0.10235635007514876,0.007583973834471085,4.488314880865044e-06,0.3549479166666667
normal,cat__service_netbios_ns,256,,,,0.0,0.0,0.0
normal,cat__service_netbios_ssn,256,,,,0.0,0.0,0.0
normal,cat__service_netstat,256,,,,0.0,0.0,0.0
normal,cat__service_nnsp,256,,,,0.0,0.0,0.0
normal,cat__service_nntp,256,,,,0.0,0.0,0.0
normal,cat__service_ntp_u,256,,,,0.0,0.0,0.0
normal,cat__service_other,256,0.12696086055405864,0.27996805762672505,0.12307876874542831,0.09781342111159574,0.006953576109001705,0.001302083333333333
normal,cat__service_pm_dump,256,,,,0.0,0.0,0.0
normal,cat__service_pop_2,256,,,,0.0,0.0,0.0
normal,cat__service_pop_3,256,-0.16535046568417275,-0.16309715253451187,,0.13928191550076008,0.01585583676607248,0.0
normal,cat__service_printer,256,,,,0.0,0.0,0.0
normal,cat__service_private,256,0.02916434083932135,0.006445002748819516,-0.16159146720660178,0.3366931028624265,0.015856079763162632,0.005208333333333332
normal,cat__service_red_i,256,,,,0.0,0.0,0.0
normal,cat__service_remote_job,256,,,,0.0,0.0,0.0
normal,cat__service_rje,256,-0.13712547977906112,-0.10308932851991248,0.06644594631821146,0.007718071365388723,4.2619617141971866e-06,0.28125
normal,cat__service_shell,256,,,,0.0,0.0,0.0
normal,cat__service_smtp,256,0.007565743856697102,0.032275956460233776,0.07856279483549923,0.051002835122972066,0.0003299563751067632,0.061718749999999996
normal,cat__service_sql_net,256,0.02958985192043459,-0.0006585095218194065,0.13104413153021127,0.0055608277881446025,2.6206965841752533e-06,0.24114583333333334
normal,cat__service_ssh,256,,,,0.0,0.0,0.0
normal,cat__service_sunrpc,256,0.16654300619375806,0.1418953171154578,0.062045848263318173,0.04644964595172487,0.0036303786829200643,0.33854166666666674
normal,cat__service_supdup,256,0.16764910759507756,0.20481069528004994,0.1208839792860091,0.0076240962705468466,4.746110814414579e-06,0.33828125000000003
normal,cat__service_systat,256,-0.13584624415307922,-0.12331471056236917,-0.012442303187094505,0.013171263050324386,1.4425355059713947e-05,0.10494791666666665
normal,cat__service_telnet,256,0.11104318115883574,0.10986392081032063,0.08293445525955731,0.1590167689973896,0.010957580067580467,0.028645833333333336
normal,cat__service_tftp_u,256,,,,0.0,0.0,0.0
normal,cat__service_tim_i,256,-0.0670094478785377,-0.0670094478785377,-0.0670094478785377,0.012841078918427227,0.002565846153747355,0.0005208333333333332
